trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores
0	3e-05	18	32	1401.8678350448608	0.21147016286849976	0.05264	0.8123999999999999	0.8942480499823595	0.8993535299819551	0.8944900841520035	[0.826386223819555, 0.9076414412460924, 0.9175178118361609, 0.9217347080881536, 0.9234874649198135]
1	4e-05	16	16	1665.6495387554169	0.3040452659130096	0.09240000000000001	0.6472	0.7114179339131267	0.7159661978780091	0.7115218379630547	[0.6564575025760281, 0.7258047340403004, 0.7265071156729329, 0.7406128589799935, 0.7304487781207909]
2	5e-05	8	32	630.2814314365387	0.25546823143959047	0.09224	0.6444000000000001	0.713493601541886	0.7172943175345647	0.7136100194635105	[0.6588221315704431, 0.7338408463041574, 0.7264396550863734, 0.7435865679443879, 0.7237823867674613]
3	2e-05	2	32	168.14905261993408	0.2643321931362152	0.09087999999999999	0.6768	0.7923807484104224	0.7921467285519662	0.7754924023241377	[0.5561367783339479, 0.8568862304077862, 0.7918086814128437, 0.8792367611473149, 0.8766651914579375]
4	2e-05	20	16	2097.426728963852	0.22676665782928468	0.05176000000000001	0.8188000000000001	0.8959905835221449	0.900951643223312	0.8962950722899385	[0.8295905953939988, 0.9160770136887162, 0.9125498145404084, 0.9217946493658872, 0.9247461431275499]
5	5e-05	19	32	1518.153870344162	0.3502514690160751	0.12448000000000001	0.5164	0.585548403787831	0.5708691611565491	0.5656823315682095	[0.49638855330715803, 0.5408169204835247, 0.7027776488687527, 0.5607592613417856, 0.5536034217815244]
6	5e-05	16	32	1248.8093583583832	0.29610028564929963	0.09304	0.642	0.7115717633818632	0.715454390934372	0.7115773836596444	[0.6567239664327043, 0.7274804955387936, 0.7261608677149869, 0.7372591606672868, 0.7296474643180891]
7	5e-05	5	16	529.2387528419495	0.16780195832252504	0.05544	0.7996000000000001	0.8880961214666406	0.8940700180276728	0.8881228616103721	[0.8147062413358519, 0.9045595541368833, 0.9089160093181665, 0.9238144867469466, 0.9183537986005165]
8	4e-05	18	32	1425.5468480587006	0.22130234837532042	0.05344	0.8100000000000002	0.8931535309119184	0.8983551586862285	0.8936027109194725	[0.8285406828593087, 0.9092293738597859, 0.9044708841826304, 0.9245731900955227, 0.9249616624338948]
9	5e-05	9	32	717.6669104099274	0.19157493114471436	0.056400000000000006	0.8064	0.8862752145903905	0.8923192205001588	0.8865730556354775	[0.8102558977291621, 0.904076191258337, 0.905937920009069, 0.9218615398397919, 0.9194645536644336]
10	2e-05	12	8	1867.1022682189941	0.22586965560913086	0.052559999999999996	0.8116	0.8946944859103603	0.900090278620984	0.8951864190390797	[0.8275173049883431, 0.9169270439216296, 0.9113658206681425, 0.926509751742133, 0.9181314717846725]
11	2e-05	13	8	2023.3414804935455	0.23499567210674285	0.05352	0.8100000000000002	0.8932280627348399	0.8990846428703213	0.8936672250766386	[0.8249212233768688, 0.9086818401236127, 0.9104493458068251, 0.9268943598410819, 0.9244764452032175]
12	2e-05	12	8	1922.350005865097	0.2284810423851013	0.0528	0.8128	0.8943158844735144	0.8994615887239064	0.8948118245987956	[0.8295150807440805, 0.9178309348897816, 0.9049929369382547, 0.9243933496257309, 0.9205756414216841]
13	2e-05	14	8	2191.330837249756	0.2292428970336914	0.051039999999999995	0.8224	0.8977481478816012	0.9021502208848714	0.8979966867328384	[0.8394090328707892, 0.9182062017423546, 0.9101606809627182, 0.9311394845965989, 0.9118357042518964]
14	2e-05	20	16	2101.345895051956	0.2312278151512146	0.05304	0.8124	0.8936325647987836	0.8986921790955155	0.893955160695349	[0.8249386429321991, 0.9138557055850551, 0.912845453860438, 0.9178496139048942, 0.9239714791949913]
15	3e-05	15	8	2347.8528819084167	0.43961291313171386	0.16992	0.3236	0.3547188889854408	0.3562815409781034	0.35487097083261326	[0.3300200262272418, 0.3677230711186569, 0.3559352768865951, 0.35994623655913977, 0.3677830940988836]
16	2e-05	9	16	950.4874362945557	0.18066272735595704	0.054880000000000005	0.8032	0.8893450043488098	0.8954353863898493	0.8894466497739024	[0.8153739898532761, 0.9057633119006079, 0.9087242575864494, 0.9305074419494195, 0.9168079306594938]
17	2e-05	14	8	2177.945208311081	0.22521618604660035	0.05088	0.8219999999999998	0.8980641036477939	0.9024478468734243	0.8983027311549145	[0.8406829182211076, 0.9171007595654839, 0.9098665478674925, 0.9312538748963014, 0.9133351338167358]
18	2e-05	14	8	2179.6852073669434	0.2304796516895294	0.05184	0.8172	0.896283442422312	0.900777228168874	0.8965287939355442	[0.8375891966560485, 0.9141544776044237, 0.9079159357072933, 0.9282796073236156, 0.915946923552989]
19	4e-05	11	8	1714.0504341125488	0.3152983754873276	0.09248	0.6456	0.7113029123826017	0.7169342785065551	0.7116554869068034	[0.6544535111956717, 0.7206253078056969, 0.7234313442749607, 0.7530864787386526, 0.7330747505177932]
