trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores
0	2e-05	16	8	1204.3642694950104	0.31089480221271515	0.09752000000000001	0.6288	0.7038585004711815	0.7078647639282132	0.7035431255085386	[0.6454541373897784, 0.7211810102466469, 0.7107853066280214, 0.728445145816215, 0.7334582195604046]
1	4e-05	15	32	547.3931250572205	0.23320319056510924	0.08088	0.7228	0.8253050690682098	0.8143305698997303	0.8142479330461017	[0.7609407707617126, 0.8969057552474468, 0.7252570141740591, 0.8335578636420399, 0.8549914456733934]
2	2e-05	5	16	257.4022767543793	0.18310521841049193	0.0648	0.7736000000000001	0.8635632684376715	0.8698195550690176	0.8626621797975185	[0.7737204339741844, 0.8919905920883389, 0.869724162050096, 0.9076822412904612, 0.905980345942007]
3	3e-05	19	16	960.8876450061798	0.21409980952739716	0.055600000000000004	0.8024000000000001	0.8888016725483254	0.8944113685604705	0.8887568628924647	[0.8176486827062946, 0.9035552773042446, 0.9070182724828374, 0.9215251709569626, 0.9223094393520131]
4	4e-05	14	16	720.8317737579346	0.2988539755344391	0.09928	0.6252	0.7008345091962357	0.7056322124979566	0.7006813590063486	[0.6398468163253879, 0.7150104976316388, 0.7169835889875331, 0.7340211430534012, 0.7222990164918217]
5	5e-05	10	8	764.1877703666687	0.48882704973220825	0.20792000000000002	0.1592	0.17625498007968127	0.17744958282520742	0.176238495412051	[0.16184210526315793, 0.17577854671280277, 0.18059071729957804, 0.18857142857142856, 0.18046511627906978]
6	2e-05	19	16	950.7598898410797	0.20028706789016723	0.05704	0.7964	0.8855825144331375	0.8918079034495119	0.8856555723960632	[0.8071387039009611, 0.9016249096656349, 0.9052842119356035, 0.9245729367506513, 0.9204187549947086]
7	5e-05	11	16	555.3716566562653	0.3443785309791565	0.13304	0.47240000000000004	0.5289367922063649	0.5318518824262133	0.5286941791206289	[0.4820425071672199, 0.5456797357283046, 0.5384952746478275, 0.5420398972390739, 0.5510019973486409]
8	4e-05	12	16	601.8617496490479	0.2192024052143097	0.0616	0.7832000000000001	0.8770747778357011	0.8839254675257704	0.8772812878479233	[0.7932882074764633, 0.8976602880126581, 0.8964376524033352, 0.9131957332833534, 0.9190454564530421]
9	5e-05	17	8	1298.3622109889984	0.4539921283721924	0.17408	0.3116	0.3478085969682787	0.3496961816253249	0.3475203722069726	[0.3145605627004103, 0.35492517891997394, 0.355026807525142, 0.3588878580866436, 0.3650805008944544]
10	3e-05	2	32	89.11871027946472	0.3414948046207428	0.12464	0.5468	0.6858257419624338	0.6711374175335756	0.651099331015836	[0.3220332964701769, 0.8219287001938926, 0.780646465454885, 0.7888091061940703, 0.6422695193548527]
11	3e-05	20	16	1020.225056886673	0.22318990528583527	0.05664	0.7972	0.8863686791682472	0.8924774200279953	0.8861489843821744	[0.8112578562778456, 0.9019955343859847, 0.9032790015564748, 0.9265983057100261, 0.9192564022096459]
12	3e-05	20	16	1011.437073469162	0.22469789683818817	0.05736	0.7932	0.8851452799166537	0.8909191071284818	0.8849812775062867	[0.810804660466, 0.9025096965973372, 0.9023879360189445, 0.9186799025514386, 0.9202133400086889]
13	3e-05	20	16	1005.4723773002625	0.22469789683818817	0.05736	0.7932	0.8851452799166537	0.8909191071284818	0.8849812775062867	[0.810804660466, 0.9025096965973372, 0.9023879360189445, 0.9186799025514386, 0.9202133400086889]
14	3e-05	8	32	304.189932346344	0.17524568736553192	0.06032	0.7848	0.8758430305752034	0.8814009532615185	0.8749922056229285	[0.7938386328576461, 0.8926489218392243, 0.8908620087976379, 0.9102772043595075, 0.9193779984535766]
15	3e-05	18	16	903.2923588752747	0.2863581955432892	0.09488	0.642	0.7087990556205965	0.7134206920875918	0.7086970204361688	[0.6482450717721556, 0.7218408164338884, 0.7178774430443393, 0.741742840726477, 0.7373972884610988]
16	3e-05	14	16	704.2271149158478	0.24755046367645264	0.07952000000000001	0.7252000000000001	0.8235573414110287	0.7971526207784125	0.8050994806110688	[0.7651515873306168, 0.8868371344010155, 0.8684766634266412, 0.7306263911195118, 0.7346713276142771]
17	3e-05	17	16	849.3390290737152	0.21668903827667235	0.059919999999999994	0.7904	0.8798902591362735	0.8860601183169081	0.8797932647592566	[0.7991698880829315, 0.9015855774037815, 0.8913164690639119, 0.9195497509552283, 0.9186789060786873]
18	3e-05	8	32	304.1123716831207	0.1735274612903595	0.059199999999999996	0.7904	0.8781954912654217	0.8838548898912608	0.8773254968642478	[0.7960173228384774, 0.8966272008113458, 0.8896534866327162, 0.9167482977415957, 0.9202281414321684]
19	3e-05	13	8	999.3054394721985	0.22426750659942626	0.05584	0.7976000000000001	0.8889037397419157	0.8948939451543112	0.8891598555846446	[0.8196589998780898, 0.9019625577618637, 0.9026293516300299, 0.921445125023428, 0.928773691478144]
