review_id,restaurant_id,page_index,review_url
882944351,1341041,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r882944351-Mustafa_s_Gemuese_Kebab-Berlin.html
882406984,1341041,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r882406984-Mustafa_s_Gemuese_Kebab-Berlin.html
875062825,1341041,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r875062825-Mustafa_s_Gemuese_Kebab-Berlin.html
871783636,1341041,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r871783636-Mustafa_s_Gemuese_Kebab-Berlin.html
870402828,1341041,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r870402828-Mustafa_s_Gemuese_Kebab-Berlin.html
865350432,1341041,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r865350432-Mustafa_s_Gemuese_Kebab-Berlin.html
864078014,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r864078014-Mustafa_s_Gemuese_Kebab-Berlin.html
864077736,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r864077736-Mustafa_s_Gemuese_Kebab-Berlin.html
857112868,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r857112868-Mustafa_s_Gemuese_Kebab-Berlin.html
853918170,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r853918170-Mustafa_s_Gemuese_Kebab-Berlin.html
853667939,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r853667939-Mustafa_s_Gemuese_Kebab-Berlin.html
853256758,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r853256758-Mustafa_s_Gemuese_Kebab-Berlin.html
849101487,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r849101487-Mustafa_s_Gemuese_Kebab-Berlin.html
843516517,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r843516517-Mustafa_s_Gemuese_Kebab-Berlin.html
840791079,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r840791079-Mustafa_s_Gemuese_Kebab-Berlin.html
839822519,1341041,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d1341041-r839822519-Mustafa_s_Gemuese_Kebab-Berlin.html
905980256,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r905980256-Restaurant_Sphere-Berlin.html
901468249,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r901468249-Restaurant_Sphere-Berlin.html
895698933,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r895698933-Restaurant_Sphere-Berlin.html
892804868,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r892804868-Restaurant_Sphere-Berlin.html
889072439,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r889072439-Restaurant_Sphere-Berlin.html
887439869,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r887439869-Restaurant_Sphere-Berlin.html
884821923,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r884821923-Restaurant_Sphere-Berlin.html
880492341,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r880492341-Restaurant_Sphere-Berlin.html
879842563,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r879842563-Restaurant_Sphere-Berlin.html
877069872,2060315,0,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r877069872-Restaurant_Sphere-Berlin.html
874181607,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r874181607-Restaurant_Sphere-Berlin.html
873818000,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r873818000-Restaurant_Sphere-Berlin.html
870518037,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r870518037-Restaurant_Sphere-Berlin.html
864225673,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r864225673-Restaurant_Sphere-Berlin.html
860091180,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r860091180-Restaurant_Sphere-Berlin.html
858715388,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r858715388-Restaurant_Sphere-Berlin.html
858184675,2060315,1,https://www.tripadvisor.de/ShowUserReviews-g187323-d2060315-r858184675-Restaurant_Sphere-Berlin.html
